"MapPointData","Value","Note"
"Title_Main","The Temple in the Time of Jesus Christ",
"Place_Temple","The Temple itself",
"Key_TableShowbread","1. The Table of Showbread",
"Key_Lampstand","2. The Lampstand",
"Key_AltarIncense","3. The Altar of Incense",
"Key_Curtain","4. The Curtain",
"Key_ArkCovenant","5. The Ark of the Covenant",
"Key_Cherubim","6. The Cherubim",
"Label_Entrance","The Entrance",
"Label_HolyPlace","The Holy Place",
"Label_HolyHolies","The Holy of Holies",
"Tag_1",1,
"Tag_2",2,
"Tag_3",3,
"Tag_4",4,
"Tag_5",5,
"Tag_6",6,
