"MapPointData","Value","Notes"
"Title_Main","Jerusalem In New Testament Times",
"Key_A","Walls at the time of Jesus",
"Key_B","Walls built by Agrippa I",
"Key_C","Present day wall",
"Road_Jericho","Road to Jericho",
"Road_Bethany","Road to Bethany",
"Road_DeadSea","Road to the Dead Sea",
"Road_Bethlehem","Road to Bethlehem",
"Road_Joppa","Road to Joppa",
"Road_Ceasarea","Road to Ceasarea",
"Road_Herodian","Herodian Street",
"Water_Bethzatha","Pool of Bethzatha",
"Water_IsrealPool","Isreal Pool",
"Water_GihonSpring","Gihon Spring",
"Water_SolomonsPool","Solomon’s Pool",
"Water_EnrogelSpring","Enrogel Spring",
"Water_PoolSiloam","Pool of Siloam",
"Water_SerpentsPool","Serpent’s Pool",
"Water_AqueductA","Aqueduct",
"Water_AqueductB","Aqueduct",
"Water_TowersPool","Tower’s Pool",
"Water_HezekiahTunnel","Hezekiah’s Tunnel",
"Gate_Damascus","Damascus Gate",
"Gate_Sheep","Sheep Gate",
"Gate_Garden","Garden Gate",
"Gate_Beautiful","Beautiful Gate",
"Gate_Valley","Valley Gate",
"Gate_Water","Water Gate",
"Gate_Essene","Essene Gate",
"Place_WallUncertain","Wall of uncertain date",
"Place_AntoniaFortress","Antonia Fortress",
"Place_Golgotha","Golgotha",
"Label_Temple","Temple",
"Label_CourtGentiles","Court of Gentiles",
"Label_SolomonsPorch","Solomon’s Porch",
"Label_Stairs","Stairs",
"Label_Bridge","Bridge",
"Place_RoyalPorch","Royal Porch",
"Place_PinnacleTemple","Pinnacle of Temple",
"Place_FieldBlood","Field of Blood",
"Place_UpperRoom","Upper Room",
"Place_CaiaphasHouse","House of Calaphas",
"Place_Theater","Theater",
"Place_HerodsPalace","Herod’s Palace",
"Place_Praetorium","Praetorium",
"Place_HerodAntipas","Herod Antipas’ Palace",
"Place_Tombs","Tombs",
"Place_Gethsemane","Gethsemane",
"Region_KidronValley","KIDRON VALLEY",
"Region_TyfopoeonValley","TYFOPOEON VALLEY",
"Region_HinnomValley","HINNOM VALLEY",
"Region_MountOlive","MOUNT OF OLIVES",
"Scale_K_Number_A",0,
"Scale_K_Number_B",0.1,
"Scale_K_Number_C",0.2,
"Scale_K_Number_D",0.3,
"Scale_K_DistanceKey","Kilometers",
"Scale_M_Number_A",,
"Scale_M_Number_B",,
"Scale_M_Number_C",,
"Scale_M_Number_D",,
"Scale_M_DistanceKey","Miles",
