"MapPointData","Value","Notes"
"Title_Main","The World",
"Continent_NorthAmerica","North America",
"Continent_SouthAmerica","South America",
"Continent_Europe","Europe",
"Continent_Africa","Africa",
"Continent_Asia","Asia",
"Continent_Australia","Australia",
"Ocean_Pacific_A","Pacific Ocean",
"Ocean_Pacific_B","Pacific Ocean",
"Ocean_Atlantic","Atlantic Ocean",
"Ocean_Indian","Indian Ocean",
