"MapPointData","Value","Note"
"Title_Main","The Temple Buildings",
"Temple_TowerAntonia","Tower of Antonia",
"Temple_CourtGentiles","Court of the Gentiles",
"Temple_CourtIsrael","Court of Israel",
"Temple_CourtWomen","Court of Women",
"Temple_CourtPriests","Court of Priests",
"Temple_HolyHolies","Holy of Holies",
"Temple_Altar","Altar",
"Temple_SolomonsPortico","Solomon’s Portico",
